File Name,File Definition,Number of 16S Extracted,Reason for No Extraction,Number of Keep Sequences,Number of Outlier Sequences,Number of different sequences saved
GCF_018447075.1_ASM1844707v1_genomic.gbff.gz,"Klebsiella oxytoca strain Survcare231 NODE_100_length_488_cov_64.6205, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_018604105.1_ASM1860410v1_genomic.gbff.gz,"Klebsiella michiganensis strain JNQH491 chromosome, complete genome",8,,6,2,2
GCF_019050695.1_ASM1905069v1_genomic.gbff.gz,"Klebsiella michiganensis strain xz176 10_length=264572_depth=1.08x, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_019334465.1_ASM1933446v1_genomic.gbff.gz,"Klebsiella grimontii strain NY3 chromosome, complete genome",8,,6,2,1
GCF_019378535.1_ASM1937853v1_genomic.gbff.gz,Klebsiella michiganensis strain Colony483 chromosome,8,,5,3,2
GCF_019378655.1_ASM1937865v1_genomic.gbff.gz,Klebsiella michiganensis strain Colony517 chromosome,8,,5,3,2
GCF_019378695.1_ASM1937869v1_genomic.gbff.gz,Klebsiella michiganensis strain Colony351 chromosome,8,,4,4,2
GCF_019426465.1_ASM1942646v1_genomic.gbff.gz,"Klebsiella michiganensis strain CVUAS 2513.3 NODE_1, whole genome shotgun sequence",1,,1,0,1
GCF_019428105.1_ASM1942810v1_genomic.gbff.gz,"Klebsiella michiganensis strain CVUAS 2404.3 NODE_1, whole genome shotgun sequence",1,,1,0,1
GCF_019428145.1_ASM1942814v1_genomic.gbff.gz,"Klebsiella michiganensis strain CVUAS 6675.2 NODE_1, whole genome shotgun sequence",1,,1,0,1
GCF_019428225.1_ASM1942822v1_genomic.gbff.gz,"Klebsiella michiganensis strain CVUAS 9732.2 NODE_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_019460145.1_ASM1946014v1_genomic.gbff.gz,"Klebsiella michiganensis strain K210011 NODE_100_length_2223_cov_206.161696, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_019677525.1_ASM1967752v1_genomic.gbff.gz,"Klebsiella oxytoca strain CVUAS 10038.2 NODE_1, whole genome shotgun sequence",1,,1,0,1
GCF_019677765.1_ASM1967776v1_genomic.gbff.gz,"Klebsiella oxytoca strain CVUAS 11572 NODE_100_length_14414_cov_5.13761, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_019677835.1_ASM1967783v1_genomic.gbff.gz,"Klebsiella grimontii strain CVUAS 11315.2 NODE_1, whole genome shotgun sequence",1,,1,0,1
GCF_019678415.1_ASM1967841v1_genomic.gbff.gz,"Klebsiella michiganensis strain CVUAS 11390 NODE_1, whole genome shotgun sequence",1,,1,0,1
GCF_019678495.1_ASM1967849v1_genomic.gbff.gz,"Klebsiella michiganensis strain CVUAS 11487 NODE_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_019678505.1_ASM1967850v1_genomic.gbff.gz,"Klebsiella michiganensis strain CVUAS 11486 NODE_1, whole genome shotgun sequence",1,,1,0,1
GCF_019678825.1_ASM1967882v1_genomic.gbff.gz,"Klebsiella michiganensis strain CVUAS 11699 NODE_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_019679175.1_ASM1967917v1_genomic.gbff.gz,"Klebsiella michiganensis strain CVUAS 11560.2 NODE_1, whole genome shotgun sequence",1,,1,0,1
GCF_019730455.1_ASM1973045v1_genomic.gbff.gz,"Klebsiella michiganensis strain Y18 scaf_1, whole genome shotgun sequence",1,,1,0,1
GCF_019730515.1_ASM1973051v1_genomic.gbff.gz,"Klebsiella michiganensis strain Y16 scaf_1, whole genome shotgun sequence",1,,1,0,1
GCF_019730535.1_ASM1973053v1_genomic.gbff.gz,"Klebsiella michiganensis strain Y14 scaf_1, whole genome shotgun sequence",1,,1,0,1
GCF_019730985.1_ASM1973098v1_genomic.gbff.gz,"Klebsiella michiganensis strain Y01 scaf_1, whole genome shotgun sequence",1,,1,0,1
GCF_019731925.1_ASM1973192v1_genomic.gbff.gz,"Klebsiella michiganensis strain KE4018 contig_KE4018_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_019771925.1_ASM1977192v1_genomic.gbff.gz,"Klebsiella oxytoca strain KO-16-21 NODE_100_length_2318_cov_758.311914, whole genome shotgun sequence",1,,1,0,1
GCF_019803065.1_ASM1980306v1_genomic.gbff.gz,"Klebsiella michiganensis strain CCRI-24235 chromosome, complete genome",8,,2,6,2
GCF_019913035.1_ASM1991303v1_genomic.gbff.gz,"Klebsiella grimontii strain M5aI M5aI_contig_1, whole genome shotgun sequence",4,,2,2,2
GCF_020115135.1_ASM2011513v1_genomic.gbff.gz,"Klebsiella michiganensis strain 141125-16 141125-16_1, whole genome shotgun sequence",1,,1,0,1
GCF_020115525.1_ASM2011552v1_genomic.gbff.gz,"Klebsiella michiganensis strain DSM 103279 DSM-103279_1, whole genome shotgun sequence",1,,1,0,1
GCF_020115535.1_ASM2011553v1_genomic.gbff.gz,"Klebsiella oxytoca strain DSM 5175 DSM-5175_1, whole genome shotgun sequence",1,,1,0,1
GCF_020115715.1_ASM2011571v1_genomic.gbff.gz,"Klebsiella grimontii strain 804720-15 804720-15_1, whole genome shotgun sequence",1,,1,0,1
GCF_020116215.1_ASM2011621v1_genomic.gbff.gz,"Klebsiella michiganensis strain 800126-16 800126-16_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_020116275.1_ASM2011627v1_genomic.gbff.gz,"Klebsiella oxytoca strain 722058-16 722058-16_1, whole genome shotgun sequence",1,,1,0,1
GCF_020116315.1_ASM2011631v1_genomic.gbff.gz,"Klebsiella michiganensis strain 720807-16 720807-16_1, whole genome shotgun sequence",1,,1,0,1
GCF_020116375.1_ASM2011637v1_genomic.gbff.gz,"Klebsiella oxytoca strain 713447-17 713447-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020116385.1_ASM2011638v1_genomic.gbff.gz,"Klebsiella oxytoca strain 713490-17 713490-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020116545.1_ASM2011654v1_genomic.gbff.gz,"Klebsiella oxytoca strain 712881-17 712881-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020116575.1_ASM2011657v1_genomic.gbff.gz,"Klebsiella oxytoca strain 711206-17 711206-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020116585.1_ASM2011658v1_genomic.gbff.gz,"Klebsiella oxytoca strain 711469-2009 711469-2009_1, whole genome shotgun sequence",1,,1,0,1
GCF_020116615.1_ASM2011661v1_genomic.gbff.gz,"Klebsiella oxytoca strain 711093-17 711093-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020116635.1_ASM2011663v1_genomic.gbff.gz,"Klebsiella oxytoca strain 711072-17 711072-17_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_020116675.1_ASM2011667v1_genomic.gbff.gz,"Klebsiella oxytoca strain 711080-17 711080-17_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_020116695.1_ASM2011669v1_genomic.gbff.gz,"Klebsiella grimontii strain 710455-17 710455-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020116755.1_ASM2011675v1_genomic.gbff.gz,"Klebsiella grimontii strain 710322-17 710322-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020116815.1_ASM2011681v1_genomic.gbff.gz,"Klebsiella michiganensis strain 710217-17 710217-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020116835.1_ASM2011683v1_genomic.gbff.gz,"Klebsiella oxytoca strain 709965-17 709965-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020116855.1_ASM2011685v1_genomic.gbff.gz,"Klebsiella oxytoca strain 709253-17 709253-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020116875.1_ASM2011687v1_genomic.gbff.gz,"Klebsiella oxytoca strain 709081-17 709081-17_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_020116885.1_ASM2011688v1_genomic.gbff.gz,"Klebsiella oxytoca strain 709833-17 709833-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020116915.1_ASM2011691v1_genomic.gbff.gz,"Klebsiella oxytoca strain 708994-2009 708994-2009_1, whole genome shotgun sequence",1,,1,0,1
GCF_020116935.1_ASM2011693v1_genomic.gbff.gz,"Klebsiella michiganensis strain 707154-17 707154-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020116955.1_ASM2011695v1_genomic.gbff.gz,"Klebsiella michiganensis strain 708990-17 708990-17_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_020116975.1_ASM2011697v1_genomic.gbff.gz,"Klebsiella oxytoca strain 708712-17 708712-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020116995.1_ASM2011699v1_genomic.gbff.gz,"Klebsiella michiganensis strain 707021-17 707021-17scaffold_0001, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_020117015.1_ASM2011701v1_genomic.gbff.gz,"Klebsiella michiganensis strain 706508-16 706508-16_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117035.1_ASM2011703v1_genomic.gbff.gz,"Klebsiella oxytoca strain 706127-17 706127-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117055.1_ASM2011705v1_genomic.gbff.gz,"Klebsiella oxytoca strain 705729-17 705729-17_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_020117075.1_ASM2011707v1_genomic.gbff.gz,"Klebsiella michiganensis strain 705849-17 705849-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117095.1_ASM2011709v1_genomic.gbff.gz,"Klebsiella michiganensis strain 705823-17 705823-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117115.1_ASM2011711v1_genomic.gbff.gz,"Klebsiella grimontii strain 705420-17 705420-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117225.1_ASM2011722v1_genomic.gbff.gz,"Klebsiella oxytoca strain 701520-2009 701520-2009_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117275.1_ASM2011727v1_genomic.gbff.gz,"Klebsiella oxytoca strain 700765-17 700765-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117355.1_ASM2011735v1_genomic.gbff.gz,"Klebsiella oxytoca strain 700570-17 700570-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117435.1_ASM2011743v1_genomic.gbff.gz,"Klebsiella grimontii strain 700466-17 700466-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117455.1_ASM2011745v1_genomic.gbff.gz,"Klebsiella oxytoca strain 700456-16 700456-16_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117465.1_ASM2011746v1_genomic.gbff.gz,"Klebsiella michiganensis strain 620286643710 620286643710_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117475.1_ASM2011747v1_genomic.gbff.gz,"Klebsiella michiganensis strain 620288768518 620288768518_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117515.1_ASM2011751v1_genomic.gbff.gz,"Klebsiella michiganensis strain 620285505921 620285505921_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_020117535.1_ASM2011753v1_genomic.gbff.gz,"Klebsiella michiganensis strain 620278998915 620278998915_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117545.1_ASM2011754v1_genomic.gbff.gz,"Klebsiella michiganensis strain 620286429714 620286429714_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117575.1_ASM2011757v1_genomic.gbff.gz,"Klebsiella grimontii strain 620279031217 620279031217_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117595.1_ASM2011759v1_genomic.gbff.gz,"Klebsiella michiganensis strain 620277132808 620277132808_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117615.1_ASM2011761v1_genomic.gbff.gz,"Klebsiella grimontii strain 620273821510-17 620273821510-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117635.1_ASM2011763v1_genomic.gbff.gz,"Klebsiella grimontii strain 620271411010-17 620271411010-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117655.1_ASM2011765v1_genomic.gbff.gz,"Klebsiella michiganensis strain 620267602911 620267602911_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117665.1_ASM2011766v1_genomic.gbff.gz,"Klebsiella michiganensis strain 620272244309 620272244309_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117695.1_ASM2011769v1_genomic.gbff.gz,"Klebsiella michiganensis strain 620267298408 620267298408_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_020117715.1_ASM2011771v1_genomic.gbff.gz,"Klebsiella michiganensis strain 620263865211 620263865211_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117735.1_ASM2011773v1_genomic.gbff.gz,"Klebsiella michiganensis strain 620264432508 620264432508_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117755.1_ASM2011775v1_genomic.gbff.gz,"Klebsiella grimontii strain 620262936017 620262936017_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117775.1_ASM2011777v1_genomic.gbff.gz,"Klebsiella michiganensis strain 620262583611 620262583611_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_020117795.1_ASM2011779v1_genomic.gbff.gz,"Klebsiella michiganensis strain 620262927814 620262927814_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117815.1_ASM2011781v1_genomic.gbff.gz,"Klebsiella michiganensis strain 620262455609 620262455609_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117835.1_ASM2011783v1_genomic.gbff.gz,"Klebsiella grimontii strain 620260661315 620260661315_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117855.1_ASM2011785v1_genomic.gbff.gz,"Klebsiella grimontii strain 620259814713-17 620259814713-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117865.1_ASM2011786v1_genomic.gbff.gz,"Klebsiella michiganensis strain 620260277613 620260277613_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117895.1_ASM2011789v1_genomic.gbff.gz,"Klebsiella grimontii strain 620262140113 620262140113_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117915.1_ASM2011791v1_genomic.gbff.gz,"Klebsiella grimontii strain 620258715808 620258715808_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117935.1_ASM2011793v1_genomic.gbff.gz,"Klebsiella grimontii strain 620257851413 620257851413_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117955.1_ASM2011795v1_genomic.gbff.gz,"Klebsiella michiganensis strain 620256896681 620256896681_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117965.1_ASM2011796v1_genomic.gbff.gz,"Klebsiella grimontii strain 620256532320 620256532320_1, whole genome shotgun sequence",1,,1,0,1
GCF_020117975.1_ASM2011797v1_genomic.gbff.gz,"Klebsiella grimontii strain 620255534809-17 620255534809-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118015.1_ASM2011801v1_genomic.gbff.gz,"Klebsiella grimontii strain 620206143210 620206143210_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118035.1_ASM2011803v1_genomic.gbff.gz,"Klebsiella michiganensis strain 620203084113 620203084113_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118135.1_ASM2011813v1_genomic.gbff.gz,"Klebsiella oxytoca strain 608815-17 608815-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118195.1_ASM2011819v1_genomic.gbff.gz,"Klebsiella oxytoca strain 608715-17 608715-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118215.1_ASM2011821v1_genomic.gbff.gz,"Klebsiella oxytoca strain 608668-17 608668-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118275.1_ASM2011827v1_genomic.gbff.gz,"Klebsiella oxytoca strain 608431-17 608431-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118315.1_ASM2011831v1_genomic.gbff.gz,"Klebsiella oxytoca strain 608110-17 608110-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118355.1_ASM2011835v1_genomic.gbff.gz,"Klebsiella oxytoca strain 606250-17 606250-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118395.1_ASM2011839v1_genomic.gbff.gz,"Klebsiella grimontii strain 606641-17 606641-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118415.1_ASM2011841v1_genomic.gbff.gz,"Klebsiella michiganensis strain 605924-17 605924-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118435.1_ASM2011843v1_genomic.gbff.gz,"Klebsiella grimontii strain 605112-17 605112-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118455.1_ASM2011845v1_genomic.gbff.gz,"Klebsiella michiganensis strain 603572-17 603572-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118495.1_ASM2011849v1_genomic.gbff.gz,"Klebsiella michiganensis strain 602734-17 602734-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118535.1_ASM2011853v1_genomic.gbff.gz,"Klebsiella grimontii strain 502988-17 502988-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118555.1_ASM2011855v1_genomic.gbff.gz,"Klebsiella michiganensis strain 505106-17 505106-17_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_020118595.1_ASM2011859v1_genomic.gbff.gz,"Klebsiella oxytoca strain 502954-17 502954-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118655.1_ASM2011865v1_genomic.gbff.gz,"Klebsiella michiganensis strain 502761-17 502761-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118665.1_ASM2011866v1_genomic.gbff.gz,"Klebsiella michiganensis strain 502790-17 502790-17_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_020118775.1_ASM2011877v1_genomic.gbff.gz,"Klebsiella oxytoca strain 502573-2009 502573-2009_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118785.1_ASM2011878v1_genomic.gbff.gz,"Klebsiella oxytoca strain 502610-17 502610-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118815.1_ASM2011881v1_genomic.gbff.gz,"Klebsiella michiganensis strain 502565-17 502565-17_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_020118875.1_ASM2011887v1_genomic.gbff.gz,"Klebsiella grimontii strain 502310-17 502310-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118915.1_ASM2011891v1_genomic.gbff.gz,"Klebsiella michiganensis strain 501671-17 501671-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020118955.1_ASM2011895v1_genomic.gbff.gz,"Klebsiella michiganensis strain 500137-17 500137-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020119035.1_ASM2011903v1_genomic.gbff.gz,"Klebsiella grimontii strain 500013-17 500013-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020119055.1_ASM2011905v1_genomic.gbff.gz,"Klebsiella michiganensis strain 44-2360-1 44-2360-1_scaffold_0001, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_020119115.1_ASM2011911v1_genomic.gbff.gz,"Klebsiella oxytoca strain 404821-16 404821-16_1, whole genome shotgun sequence",1,,1,0,1
GCF_020119125.1_ASM2011912v1_genomic.gbff.gz,"Klebsiella oxytoca strain 404813-5-17 404813-5-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020119845.1_ASM2011984v1_genomic.gbff.gz,"Klebsiella grimontii strain 402620-12 402620-12_1, whole genome shotgun sequence",1,,1,0,1
GCF_020119895.1_ASM2011989v1_genomic.gbff.gz,"Klebsiella grimontii strain 402496-14 402496-14_1, whole genome shotgun sequence",1,,1,0,1
GCF_020120175.1_ASM2012017v1_genomic.gbff.gz,"Klebsiella michiganensis strain 401153-17 401153-17_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_020120515.1_ASM2012051v1_genomic.gbff.gz,"Klebsiella oxytoca strain 400125-17 400125-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020120535.1_ASM2012053v1_genomic.gbff.gz,"Klebsiella oxytoca strain 400086-17 400086-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020120585.1_ASM2012058v1_genomic.gbff.gz,"Klebsiella michiganensis strain 400041-17 400041-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020120615.1_ASM2012061v1_genomic.gbff.gz,"Klebsiella grimontii strain 40-2021-2 40-2021-2_1, whole genome shotgun sequence",1,,1,0,1
GCF_020120815.1_ASM2012081v1_genomic.gbff.gz,"Klebsiella grimontii strain 170079723-17 170079723-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020120845.1_ASM2012084v1_genomic.gbff.gz,"Klebsiella grimontii strain 170096690-17 170096690-17_scaffold_0001, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_020120855.1_ASM2012085v1_genomic.gbff.gz,"Klebsiella grimontii strain 170067317-17 170067317-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020120895.1_ASM2012089v1_genomic.gbff.gz,"Klebsiella michiganensis strain 170070391-17 170070391-17_scaffold_0001, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_020121095.1_ASM2012109v1_genomic.gbff.gz,"Klebsiella michiganensis strain 128489-17 128489-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020121115.1_ASM2012111v1_genomic.gbff.gz,"Klebsiella michiganensis strain 126192-17 126192-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020121285.1_ASM2012128v1_genomic.gbff.gz,"Klebsiella michiganensis strain 111734-17 111734-17_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_020121435.1_ASM2012143v1_genomic.gbff.gz,"Klebsiella michiganensis strain 109680-17 109680-17_1, whole genome shotgun sequence",1,,1,0,1
GCF_020479545.1_ASM2047954v1_genomic.gbff.gz,"Klebsiella grimontii strain BEITU-N349 573.28525.con.0001, whole genome shotgun sequence",1,,1,0,1
GCF_020479805.1_ASM2047980v1_genomic.gbff.gz,"Klebsiella michiganensis strain BEITU-N172 573.28529.con.0001, whole genome shotgun sequence",1,,1,0,1
GCF_020695625.1_ASM2069562v1_genomic.gbff.gz,"Klebsiella michiganensis strain 53828CZ chromosome, complete genome",8,,7,1,2
GCF_021165695.1_ASM2116569v1_genomic.gbff.gz,"Klebsiella michiganensis strain CFS0697 NODE_100_length_19664_cov_29.678303, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_021228185.1_ASM2122818v1_genomic.gbff.gz,"Klebsiella oxytoca strain CFI_080_KPC2 CHD Contig1, whole genome shotgun sequence",0,No matching 16S rRNA product criteria,0,0
GCF_021228655.1_ASM2122865v1_genomic.gbff.gz,"Klebsiella oxytoca strain Kox71 chromosome, complete genome",8,,4,4,3
GCF_021228695.1_ASM2122869v1_genomic.gbff.gz,"Klebsiella michiganensis strain Kox58 chromosome, complete genome",8,,6,2,5
GCF_021228715.1_ASM2122871v1_genomic.gbff.gz,"Klebsiella oxytoca strain Kox26 chromosome, complete genome",8,,5,3,2
GCF_021228735.1_ASM2122873v1_genomic.gbff.gz,"Klebsiella pasteurii strain Kox205 chromosome, complete genome",8,,7,1,4
GCF_021228775.1_ASM2122877v1_genomic.gbff.gz,"Klebsiella oxytoca strain Kox100 chromosome, complete genome",8,,4,4,2
GCF_021228855.1_ASM2122885v1_genomic.gbff.gz,"Klebsiella michiganensis strain K92 chromosome, complete genome",8,,8,0,1
GCF_021228995.1_ASM2122899v1_genomic.gbff.gz,"Klebsiella michiganensis strain 8-1 chromosome, complete genome",8,,8,0,1
GCF_021264605.1_ASM2126460v1_genomic.gbff.gz,"Klebsiella oxytoca strain KPN101 NODE_100_length_1931_cov_11.6846, whole genome shotgun sequence",1,,1,0,1
GCF_021373355.1_ASM2137335v1_genomic.gbff.gz,"Klebsiella oxytoca strain MVC303 contig00001, whole genome shotgun sequence",1,,1,0,1
GCF_021373415.1_ASM2137341v1_genomic.gbff.gz,"Klebsiella oxytoca strain MVC642 contig00001, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_021391575.1_ASM2139157v1_genomic.gbff.gz,"Klebsiella michiganensis strain KM41 chromosome, complete genome",8,,7,1,2
GCF_021394645.1_ASM2139464v1_genomic.gbff.gz,"Klebsiella michiganensis strain A2 NODE_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_021398915.1_ASM2139891v1_genomic.gbff.gz,"Klebsiella oxytoca strain KONSF-1 chromosome, complete genome",8,,7,1,1
GCF_021440665.1_ASM2144066v1_genomic.gbff.gz,"Klebsiella michiganensis strain INSAq73 Aq73_contig_1, whole genome shotgun sequence",1,,1,0,1
GCF_021460075.1_ASM2146007v1_genomic.gbff.gz,Klebsiella michiganensis strain MIN-086 chromosome,8,,7,1,1
GCF_022014295.1_ASM2201429v1_genomic.gbff.gz,"Klebsiella grimontii strain TD1 Scaffold1, whole genome shotgun sequence",0,No 16S rRNA sequences found,0,0
GCF_022163245.1_ASM2216324v1_genomic.gbff.gz,"Klebsiella michiganensis strain KO_408 chromosome, complete genome",8,,8,0,1
GCF_022163245.2_ASM2216324v2_genomic.gbff.gz,"Klebsiella michiganensis strain KO_408 chromosome, complete genome",8,,2,6,2
GCF_022343245.1_ASM2234324v1_genomic.gbff.gz,"Klebsiella michiganensis strain YL6-1 chromosome, complete genome",8,,5,3,1
GCF_022343265.1_ASM2234326v1_genomic.gbff.gz,"Klebsiella michiganensis strain YL9 chromosome, complete genome",8,,8,0,1
GCF_022359805.1_ASM2235980v1_genomic.gbff.gz,"Klebsiella michiganensis strain B199A contig00001, whole genome shotgun sequence",1,,1,0,1
GCF_022501085.1_ASM2250108v1_genomic.gbff.gz,"Klebsiella michiganensis strain E5 contig00001, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_022501105.1_ASM2250110v1_genomic.gbff.gz,"Klebsiella michiganensis strain E2 contig00001, whole genome shotgun sequence",1,,1,0,1
GCF_022539825.1_ASM2253982v1_genomic.gbff.gz,"Klebsiella michiganensis strain AGK0680 1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_022539845.1_ASM2253984v1_genomic.gbff.gz,"Klebsiella grimontii strain AGK0678 1, whole genome shotgun sequence",1,,1,0,1
GCF_022539865.1_ASM2253986v1_genomic.gbff.gz,"Klebsiella michiganensis strain AGK0675 1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_022539885.1_ASM2253988v1_genomic.gbff.gz,"Klebsiella michiganensis strain AGK0677 1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_022539905.1_ASM2253990v1_genomic.gbff.gz,"Klebsiella michiganensis strain AGK0674 1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_022539995.1_ASM2253999v1_genomic.gbff.gz,"Klebsiella grimontii strain AGK0664 1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_022540065.1_ASM2254006v1_genomic.gbff.gz,"Klebsiella michiganensis strain AGK0643 1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_022540085.1_ASM2254008v1_genomic.gbff.gz,"Klebsiella michiganensis strain AGK0615 1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
